year,storm, dates , max_winds_mph , min_pressure_mb , maximum_strength 
1990,NOT_NAMED,5/24 - 5/26,25,,Tropical Depression
1989,ALLISON,6/24 - 7/1,45,999,Tropical Storm
1989,BARRY,7/9 - 7/14,45,1005,Tropical Storm
1989,CHANTAL,7/30 - 8/3,70,984,Hurricane
1989,DEAN,7/31 - 8/9,90,968,Hurricane
1989,ERIN,8/18 - 8/27,90,968,Hurricane
1989,FELIX,8/26 - 9/10,75,979,Hurricane
1989,GABRIELLE,8/30 - 9/13,125,935,Hurricane
1989,HUGO,9/10 - 9/25,140,918,Hurricane
1989,IRIS,9/16 - 9/21,60,1001,Tropical Storm
1989,JERRY,10/12 - 10/16,75,982,Hurricane
1989,KAREN,11/28 - 12/4,50,1000,Tropical Storm
1989,NOT_NAMED,10/2 - 10/5,30,,Tropical Depression
1989,NOT_NAMED,8/27 - 8/28,25,,Tropical Depression
1989,NOT_NAMED,8/8 - 8/17,30,,Tropical Depression
1989,NOT_NAMED,6/15 - 6/17,25,,Tropical Depression
1988,ALBERTO,8/5 - 8/8,35,1002,Tropical Storm
1988,BERYL,8/8 - 8/10,45,1001,Tropical Storm
1988,CHRIS,8/21 - 8/30,45,1005,Tropical Storm
1988,DEBBY,8/31 - 9/8,65,987,Hurricane
1988,ERNESTO,9/3 - 9/5,55,994,Tropical Storm
1988,FLORENCE,9/7 - 9/11,70,982,Hurricane
1988,GILBERT,9/8 - 9/20,160,888,Hurricane
1988,HELENE,9/19 - 9/30,125,938,Hurricane
1988,ISAAC,9/28 - 10/1,40,1005,Tropical Storm
1988,JOAN:MIRIAM,10/10 - 11/2,125,932,Hurricane
1988,KEITH,11/17 - 11/26,65,945,Tropical Storm
1988,NOT_NAMED,10/19 - 10/21,30,,Tropical Depression
1988,NOT_NAMED,9/27 - 9/29,25,,Tropical Depression
1988,NOT_NAMED,9/7 - 9/10,50,994,Tropical Storm
1988,NOT_NAMED,9/4 - 9/4,30,,Tropical Depression
1988,NOT_NAMED,8/20 - 8/24,30,,Tropical Depression
1988,NOT_NAMED,8/20 - 8/31,30,,Tropical Depression
1988,NOT_NAMED,8/13 - 8/14,30,,Tropical Depression
1988,NOT_NAMED,5/31 - 6/2,25,,Tropical Depression
1987,ARLENE,8/8 - 8/28,65,987,Hurricane
1987,BRET,8/18 - 8/24,45,1000,Tropical Storm
1987,CINDY,9/5 - 9/10,45,1000,Tropical Storm
1987,DENNIS,9/8 - 9/20,45,1000,Tropical Storm
1987,EMILY,9/20 - 9/26,110,958,Hurricane
1987,FLOYD,10/9 - 10/14,65,993,Hurricane
1987,NOT_NAMED,10/31 - 11/4,30,,Tropical Depression
1987,NOT_NAMED,9/13 - 9/17,30,,Tropical Depression
1987,NOT_NAMED,9/7 - 9/8,30,,Tropical Depression
1987,NOT_NAMED,9/6 - 9/8,30,,Tropical Depression
1987,NOT_NAMED,8/30 - 9/2,30,,Tropical Depression
1987,NOT_NAMED,8/13 - 8/15,30,,Tropical Depression
1987,NOT_NAMED,8/9 - 8/17,40,1007,Tropical Storm
1987,NOT_NAMED,5/24 - 6/1,30,,Tropical Depression
1986,ANDREW,6/5 - 6/8,45,999,Tropical Storm
1986,BONNIE,6/23 - 6/28,75,990,Hurricane
1986,CHARLEY,8/13 - 8/30,70,980,Hurricane
1986,DANIELLE,9/7 - 9/10,50,1000,Tropical Storm
1986,EARL,9/10 - 9/20,90,979,Hurricane
1986,FRANCES,11/18 - 11/21,75,1000,Hurricane
1986,NOT_NAMED,9/1 - 9/4,30,,Tropical Depression
1986,NOT_NAMED,8/30 - 9/4,30,,Tropical Depression
1986,NOT_NAMED,8/4 - 8/5,30,,Tropical Depression
1986,NOT_NAMED,7/23 - 7/28,30,,Tropical Depression
1985,ANA,7/15 - 7/19,60,996,Tropical Storm
1985,BOB,7/21 - 7/26,65,1002,Hurricane
1985,CLAUDETTE,8/9 - 8/17,75,980,Hurricane
1985,DANNY,8/12 - 8/20,80,987,Hurricane
1985,ELENA,8/28 - 9/4,110,953,Hurricane
1985,FABIAN,9/15 - 9/19,55,994,Tropical Storm
1985,GLORIA,9/16 - 10/2,125,920,Hurricane
1985,HENRI,9/21 - 9/25,50,996,Tropical Storm
1985,ISABEL,10/7 - 10/15,60,997,Tropical Storm
1985,JUAN,10/26 - 11/1,75,971,Hurricane
1985,KATE,11/15 - 11/23,105,954,Hurricane
1985,NOT_NAMED,12/7 - 12/9,30,,Tropical Depression
1985,NOT_NAMED,9/11 - 9/13,30,,Tropical Depression
1985,NOT_NAMED,9/8 - 9/13,30,,Tropical Depression
1984,ARTHUR,8/28 - 9/5,45,1004,Tropical Storm
1984,BERTHA,8/30 - 9/4,35,1007,Tropical Storm
1984,CESAR,8/31 - 9/2,50,989,Tropical Storm
1984,DIANA,9/8 - 9/16,115,949,Hurricane
1984,EDOUARD,9/14 - 9/15,55,998,Tropical Storm
1984,FRAN,9/15 - 9/20,55,994,Tropical Storm
1984,GUSTAV,9/16 - 9/19,45,1006,Tropical Storm
1984,HORTENSE,9/23 - 10/2,65,993,Hurricane
1984,ISIDORE,9/25 - 10/1,50,999,Tropical Storm
1984,JOSEPHINE,10/7 - 10/21,90,965,Hurricane
1984,KLAUS,11/5 - 11/13,80,971,Hurricane
1984,LILI,12/12 - 12/24,70,980,Hurricane
1984,NOT_NAMED,11/23 - 11/28,30,,Tropical Depression
1984,NOT_NAMED,10/25 - 10/28,30,,Tropical Depression
1984,NOT_NAMED,9/6 - 9/8,30,,Tropical Depression
1984,NOT_NAMED,8/18 - 8/21,50,1000,Subtropical Storm
1984,NOT_NAMED,8/6 - 8/8,30,,Tropical Depression
1984,NOT_NAMED,7/24 - 7/26,30,,Tropical Depression
1984,NOT_NAMED,6/18 - 6/20,30,,Tropical Depression
1984,NOT_NAMED,6/11 - 6/14,30,,Tropical Depression
1983,ALICIA,8/15 - 8/21,100,962,Hurricane
1983,BARRY,8/23 - 8/29,70,986,Hurricane
1983,CHANTAL,9/10 - 9/15,65,994,Hurricane
1983,DEAN,9/26 - 9/30,55,999,Tropical Storm
1983,NOT_NAMED,7/27 - 8/2,30,,Tropical Depression
1983,NOT_NAMED,7/23 - 7/28,30,,Tropical Depression
1982,ALBERTO,6/2 - 6/6,75,985,Hurricane
1982,BERYL,8/28 - 9/6,60,989,Tropical Storm
1982,CHRIS,9/9 - 9/12,55,994,Tropical Storm
1982,DEBBY,9/13 - 9/20,115,950,Hurricane
1982,ERNESTO,9/30 - 10/3,60,997,Tropical Storm
1982,NOT_NAMED,9/24 - 9/27,30,,Tropical Depression
1982,NOT_NAMED,9/6 - 9/9,30,,Tropical Depression
1982,NOT_NAMED,6/18 - 6/20,60,984,Extratropical
1981,ARLENE,5/6 - 5/9,50,999,Tropical Storm
1981,BRET,6/29 - 7/1,60,996,Tropical Storm
1981,CINDY,8/2 - 8/5,50,1002,Tropical Storm
1981,DENNIS,8/7 - 8/22,70,995,Hurricane
1981,EMILY,8/31 - 9/12,80,966,Hurricane
1981,FLOYD,9/3 - 9/12,100,975,Hurricane
1981,GERT,9/7 - 9/15,90,988,Hurricane
1981,HARVEY,9/11 - 9/20,115,946,Hurricane
1981,IRENE,9/21 - 10/3,105,959,Hurricane
1981,JOSE,10/29 - 11/2,45,998,Tropical Storm
1981,KATRINA,11/3 - 11/7,75,980,Hurricane
1981,NOT_NAMED,11/12 - 11/17,60,978,Subtropical Storm
1981,NOT_NAMED,9/26 - 10/4,30,,Tropical Depression
1981,NOT_NAMED,9/12 - 9/14,30,,Tropical Depression
1981,NOT_NAMED,8/26 - 8/29,30,,Tropical Depression
1981,NOT_NAMED,8/17 - 8/21,30,,Tropical Depression
1981,NOT_NAMED,7/25 - 7/26,30,,Tropical Depression
1981,NOT_NAMED,7/2 - 7/4,30,,Tropical Depression
1981,NOT_NAMED,6/17 - 6/19,30,,Tropical Depression
1981,NOT_NAMED,6/3 - 6/5,30,,Tropical Depression
1981,NOT_NAMED,4/19 - 4/21,25,,Tropical Depression
1981,NOT_NAMED,4/6 - 4/7,30,,Tropical Depression
1980,ALLEN,7/31 - 8/11,165,899,Hurricane
1980,BONNIE,8/14 - 8/19,85,975,Hurricane
1980,CHARLEY,8/20 - 8/25,70,989,Hurricane
1980,DANIELLE,9/4 - 9/7,50,1004,Tropical Storm
1980,EARL,9/4 - 9/11,65,985,Hurricane
1980,FRANCES,9/6 - 9/21,100,958,Hurricane
1980,GEORGES,9/1 - 9/8,70,993,Hurricane
1980,HERMINE,9/20 - 9/26,60,993,Tropical Storm
1980,IVAN,10/1 - 10/12,90,970,Hurricane
1980,JEANNE,11/7 - 11/16,85,986,Hurricane
1980,KARL,11/25 - 11/28,75,985,Hurricane
1980,NOT_NAMED,11/12 - 11/18,30,,Tropical Depression
1980,NOT_NAMED,10/16 - 10/18,25,,Tropical Depression
1980,NOT_NAMED,8/25 - 8/29,30,,Tropical Depression
1980,NOT_NAMED,8/13 - 8/17,30,,Tropical Depression
1980,NOT_NAMED,7/22 - 7/26,30,,Tropical Depression
1980,NOT_NAMED,7/17 - 7/21,30,,Tropical Depression
1980,NOT_NAMED,7/17 - 7/21,25,,Tropical Depression
1979,ANA,6/19 - 6/24,50,1005,Tropical Storm
1979,BOB,7/9 - 7/16,65,986,Hurricane
1979,CLAUDETTE,7/15 - 7/29,45,997,Tropical Storm
1979,DAVID,8/25 - 9/8,150,924,Hurricane
1979,ELENA,8/30 - 9/2,35,1004,Tropical Storm
1979,FREDERIC,8/29 - 9/15,115,943,Hurricane
1979,GLORIA,9/4 - 9/15,85,975,Hurricane
1979,HENRI,9/15 - 9/24,75,983,Hurricane
1979,NOT_NAMED,11/7 - 11/10,30,,Tropical Depression
1979,NOT_NAMED,10/24 - 10/29,30,,Tropical Depression
1979,NOT_NAMED,10/23 - 10/25,65,980,Subtropical Storm
1979,NOT_NAMED,10/12 - 10/20,30,,Tropical Depression
1979,NOT_NAMED,9/16 - 9/21,30,,Tropical Depression
1979,NOT_NAMED,9/1 - 9/6,30,,Tropical Depression
1979,NOT_NAMED,8/25 - 8/28,30,,Tropical Depression
1979,NOT_NAMED,7/31 - 8/6,30,,Tropical Depression
1979,NOT_NAMED,7/23 - 7/26,30,,Tropical Depression
1979,NOT_NAMED,7/10 - 7/13,30,,Tropical Depression
1979,NOT_NAMED,7/8 - 7/13,25,,Tropical Depression
1979,NOT_NAMED,6/11 - 6/16,30,,Tropical Depression
1978,AMELIA,7/30 - 8/1,45,1005,Tropical Storm
1978,BESS,8/5 - 8/8,45,1005,Tropical Storm
1978,CORA,8/7 - 8/12,80,980,Hurricane
1978,DEBRA,8/26 - 8/29,50,1000,Tropical Storm
1978,ELLA,8/30 - 9/5,120,956,Hurricane
1978,FLOSSIE,9/4 - 9/16,85,976,Hurricane
1978,GRETA,9/13 - 9/20,115,947,Hurricane
1978,HOPE,9/12 - 9/21,55,987,Tropical Storm
1978,IRMA,10/2 - 10/5,45,1001,Tropical Storm
1978,JULIET,10/7 - 10/11,45,1006,Tropical Storm
1978,KENDRA,10/28 - 11/3,70,990,Hurricane
1978,NOT_NAMED,11/3 - 11/5,25,,Tropical Depression
1978,NOT_NAMED,10/26 - 10/29,25,,Tropical Depression
1978,NOT_NAMED,10/13 - 10/17,30,,Tropical Depression
1978,NOT_NAMED,9/21 - 9/23,30,,Tropical Depression
1978,NOT_NAMED,9/18 - 9/29,30,,Tropical Depression
1978,NOT_NAMED,9/8 - 9/10,30,,Tropical Depression
1978,NOT_NAMED,9/3 - 9/11,30,,Tropical Depression
1978,NOT_NAMED,8/30 - 9/1,30,,Tropical Depression
1978,NOT_NAMED,8/9 - 8/10,25,,Tropical Depression
1978,NOT_NAMED,8/7 - 8/11,30,,Tropical Depression
1978,NOT_NAMED,7/10 - 7/12,30,,Tropical Depression
1978,NOT_NAMED,6/21 - 6/22,25,,Tropical Depression
1978,NOT_NAMED,1/18 - 1/23,40,1002,Subtropical Storm
1977,ANITA,8/29 - 9/3,150,926,Hurricane
1977,BABE,9/3 - 9/9,65,995,Hurricane
1977,CLARA,9/5 - 9/12,65,993,Hurricane
1977,DOROTHY,9/26 - 9/30,75,980,Hurricane
1977,EVELYN,10/13 - 10/16,70,994,Hurricane
1977,FRIEDA,10/16 - 10/19,50,1005,Tropical Storm
1977,NOT_NAMED,10/24 - 10/25,30,,Tropical Depression
1977,NOT_NAMED,10/3 - 10/5,30,,Tropical Depression
1977,NOT_NAMED,10/1 - 10/3,30,,Tropical Depression
1977,NOT_NAMED,9/22 - 9/23,25,,Tropical Depression
1977,NOT_NAMED,9/17 - 9/19,25,,Tropical Depression
1977,NOT_NAMED,8/1 - 8/4,30,,Tropical Depression
1977,NOT_NAMED,7/25 - 7/26,25,,Tropical Depression
1977,NOT_NAMED,7/18 - 7/19,30,,Tropical Depression
1977,NOT_NAMED,6/13 - 6/14,25,,Tropical Depression
1976,ANNA,7/28 - 8/6,45,999,Tropical Storm
1976,BELLE,8/6 - 8/10,105,957,Hurricane
1976,CANDICE,8/18 - 8/24,80,964,Hurricane
1976,DOTTIE,8/18 - 8/21,45,996,Tropical Storm
1976,EMMY,8/20 - 9/4,90,974,Hurricane
1976,FRANCES,8/27 - 9/7,100,963,Hurricane
1976,GLORIA,9/26 - 10/5,90,970,Hurricane
1976,HOLLY,10/22 - 10/29,65,990,Hurricane
1976,NOT_NAMED,10/12 - 10/15,30,,Tropical Depression
1976,NOT_NAMED,10/3 - 10/12,30,,Tropical Depression
1976,NOT_NAMED,9/26 - 9/28,30,,Tropical Depression
1976,NOT_NAMED,9/22 - 9/24,25,,Tropical Depression
1976,NOT_NAMED,9/20 - 9/27,30,,Tropical Depression
1976,NOT_NAMED,9/13 - 9/17,40,1011,Subtropical Storm
1976,NOT_NAMED,9/5 - 9/7,25,,Tropical Depression
1976,NOT_NAMED,9/4 - 9/6,25,,Tropical Depression
1976,NOT_NAMED,7/23 - 7/24,25,,Tropical Depression
1976,NOT_NAMED,7/20 - 7/22,25,,Tropical Depression
1976,NOT_NAMED,6/11 - 6/12,30,,Tropical Depression
1976,NOT_NAMED,6/7 - 6/9,30,,Tropical Depression
1976,NOT_NAMED,5/21 - 5/25,45,994,Subtropical Storm
1975,AMY,6/27 - 7/4,60,981,Tropical Storm
1975,BLANCHE,7/24 - 7/28,75,980,Hurricane
1975,CAROLINE,8/24 - 9/1,100,963,Hurricane
1975,DORIS,8/28 - 9/4,95,965,Hurricane
1975,ELOISE,9/13 - 9/24,110,955,Hurricane
1975,FAYE,9/18 - 9/29,90,977,Hurricane
1975,GLADYS,9/22 - 10/4,120,939,Hurricane
1975,HALLIE,10/24 - 10/28,45,1002,Tropical Storm
1975,NOT_NAMED,12/9 - 12/13,60,985,Subtropical Storm
1975,NOT_NAMED,11/29 - 12/1,25,,Tropical Depression
1975,NOT_NAMED,11/8 - 11/12,30,,Tropical Depression
1975,NOT_NAMED,10/27 - 10/29,25,,Tropical Depression
1975,NOT_NAMED,10/14 - 10/17,30,,Tropical Depression
1975,NOT_NAMED,10/3 - 10/5,25,,Tropical Depression
1975,NOT_NAMED,9/25 - 9/29,25,,Tropical Depression
1975,NOT_NAMED,9/11 - 9/14,30,,Tropical Depression
1975,NOT_NAMED,9/6 - 9/7,25,,Tropical Depression
1975,NOT_NAMED,9/3 - 9/6,30,,Tropical Depression
1975,NOT_NAMED,9/3 - 9/9,30,,Tropical Depression
1975,NOT_NAMED,7/28 - 7/30,30,,Tropical Depression
1975,NOT_NAMED,7/25 - 7/26,25,,Tropical Depression
1975,NOT_NAMED,7/4 - 7/5,25,,Tropical Depression
1975,NOT_NAMED,6/24 - 6/29,30,,Tropical Depression
1974,ALMA,8/12 - 8/15,55,1007,Tropical Storm
1974,BECKY,8/26 - 9/2,100,977,Hurricane
1974,CARMEN,8/29 - 9/10,130,928,Hurricane
1974,DOLLY,9/2 - 9/5,45,1004,Tropical Storm
1974,ELAINE,9/4 - 9/14,60,1001,Tropical Storm
1974,FIFI:ORLENE,9/14 - 9/24,95,971,Hurricane
1974,GERTRUDE,9/27 - 10/4,65,999,Hurricane
1974,NOT_NAMED,11/10 - 11/12,25,,Tropical Depression
1974,NOT_NAMED,10/30 - 11/2,25,,Tropical Depression
1974,NOT_NAMED,10/4 - 10/9,45,1006,Tropical Depression
1974,NOT_NAMED,9/23 - 9/27,30,,Tropical Depression
1974,NOT_NAMED,9/18 - 9/20,25,,Tropical Depression
1974,NOT_NAMED,9/2 - 9/11,30,,Tropical Depression
1974,NOT_NAMED,8/24 - 8/26,30,,Tropical Depression
1974,NOT_NAMED,8/10 - 8/15,50,992,Subtropical Storm
1974,NOT_NAMED,7/16 - 7/20,45,1006,Extratropical
1974,NOT_NAMED,7/13 - 7/17,30,,Tropical Depression
1974,NOT_NAMED,6/30 - 7/2,30,,Tropical Depression
1974,NOT_NAMED,6/22 - 6/26,25,,Tropical Depression
1973,ALFA,7/30 - 8/2,40,1005,Subtropical Storm
1973,ALICE,7/1 - 7/7,80,986,Hurricane
1973,BRENDA,8/18 - 8/22,80,977,Hurricane
1973,CHRISTINE,8/25 - 9/4,60,996,Tropical Storm
1973,DELIA,9/1 - 9/7,60,986,Tropical Storm
1973,ELLEN,9/14 - 9/23,100,962,Hurricane
1973,FRAN,10/8 - 10/13,70,978,Hurricane
1973,GILDA,10/16 - 10/30,60,968,Tropical Storm
1973,NOT_NAMED,11/17 - 11/18,30,,Tropical Depression
1973,NOT_NAMED,10/10 - 10/12,25,,Tropical Depression
1973,NOT_NAMED,9/24 - 9/26,25,,Tropical Depression
1973,NOT_NAMED,9/6 - 9/12,30,,Tropical Depression
1973,NOT_NAMED,8/9 - 8/11,30,,Tropical Depression
1973,NOT_NAMED,7/19 - 7/21,25,,Tropical Depression
1973,NOT_NAMED,6/24 - 6/26,25,,Tropical Depression
1973,NOT_NAMED,5/2 - 5/5,25,,Tropical Depression
1973,NOT_NAMED,4/18 - 4/21,25,,Tropical Depression
1972,AGNES,6/14 - 6/23,75,977,Hurricane
1972,ALPHA,5/23 - 5/29,60,991,Subtropical Storm
1972,BETTY,8/22 - 9/1,90,976,Hurricane
1972,CARRIE,8/29 - 9/5,60,992,Tropical Storm
1972,CHARLIE,9/19 - 9/22,60,944,Extratropical
1972,DAWN,9/5 - 9/14,70,997,Hurricane
1972,DELTA,11/1 - 11/7,40,1001,Subtropical Storm
1972,NOT_NAMED,10/16 - 10/20,25,,Tropical Depression
1972,NOT_NAMED,10/5 - 10/15,30,,Tropical Depression
1972,NOT_NAMED,10/1 - 10/3,25,,Tropical Depression
1972,NOT_NAMED,9/20 - 9/24,25,,Tropical Depression
1972,NOT_NAMED,9/3 - 9/5,25,,Tropical Depression
1972,NOT_NAMED,8/16 - 8/18,25,,Tropical Depression
1972,NOT_NAMED,8/12 - 8/15,25,,Tropical Depression
1972,NOT_NAMED,8/5 - 8/7,25,,Tropical Depression
1972,NOT_NAMED,7/31 - 8/3,25,,Tropical Depression
1972,NOT_NAMED,7/16 - 7/20,25,,Tropical Depression
1972,NOT_NAMED,7/10 - 7/12,25,,Tropical Depression
1972,NOT_NAMED,6/19 - 6/20,25,,Tropical Depression
1971,ARLENE,7/4 - 7/8,55,1000,Tropical Storm
1971,BETH,8/10 - 8/17,75,977,Hurricane
1971,CHLOE,8/18 - 8/25,55,1004,Tropical Storm
1971,DORIA,8/20 - 8/29,55,989,Tropical Storm
1971,EDITH,9/5 - 9/18,140,943,Hurricane
1971,FERN,9/3 - 9/13,80,978,Hurricane
1971,GINGER,9/6 - 10/5,95,959,Hurricane
1971,HEIDI,9/11 - 9/15,55,996,Tropical Storm
1971,IRENE:OLIVIA,9/11 - 10/1,100,948,Hurricane
1971,JANICE,9/21 - 9/24,55,1005,Tropical Storm
1971,KRISTY,10/18 - 10/21,45,992,Tropical Storm
1971,LAURA,11/12 - 11/22,60,994,Tropical Storm
1971,NOT_NAMED,10/6 - 10/14,25,,Tropical Depression
1971,NOT_NAMED,9/10 - 9/14,30,,Tropical Depression
1971,NOT_NAMED,9/8 - 9/11,25,,Tropical Depression
1971,NOT_NAMED,9/3 - 9/8,30,,Tropical Depression
1971,NOT_NAMED,8/28 - 9/1,25,,Tropical Depression
1971,NOT_NAMED,8/12 - 8/16,25,,Tropical Depression
1971,NOT_NAMED,8/6 - 8/9,25,,Tropical Depression
1971,NOT_NAMED,8/3 - 8/7,75,974,Hurricane
1971,NOT_NAMED,7/10 - 7/11,25,,Tropical Depression
1971,NOT_NAMED,7/7 - 7/8,25,,Tropical Depression
2019,ANDREA,5/20 - 5/22,35,1006,Tropical Low
2019,BARRY,7/10 - 7/16,65,993,Hurricane
2019,CHANTAL,8/20 - 8/26,35,1007,Tropical Storm
2019,DORIAN,8/24 - 9/9,160,910,Hurricane
2019,ERIN,8/26 - 8/29,35,1002,Tropical Storm
2019,FERNAND,9/3 - 9/5,45,1000,Tropical Storm
2019,GABRIELLE,9/3 - 9/11,55,995,Tropical Storm
2019,HUMBERTO,9/12 - 9/20,110,950,Hurricane
2019,IMELDA,9/17 - 9/19,40,1003,Tropical Storm
2019,JERRY,9/17 - 9/28,90,976,Hurricane
2019,KAREN,9/22 - 9/27,40,1003,Tropical Storm
2019,LORENZO,9/22 - 10/4,140,925,Hurricane
2019,MELISSA,10/8 - 10/14,55,994,Tropical Storm
2019,NESTOR,10/17 - 10/21,50,996,Tropical Storm
2019,NOT_NAMED,10/14 - 10/17,30,1006,Tropical Depression
2019,NOT_NAMED,7/22 - 7/23,30,1013,Tropical Depression
2019,OLGA,10/25 - 10/27,45,992,Tropical Storm
2019,PABLO,10/23 - 10/29,70,977,Hurricane
2019,REBEKAH,10/27 - 11/1,70,965,Extratropical
2019,SEBASTIEN,11/19 - 11/27,60,970,Tropical Storm
2020,ALPHA,9/14 - 9/19,60,992,Extratropical
2020,AMANDA,5/30 - 5/31,35,1003,Tropical Storm
2020,ARTHUR,5/16 - 5/21,55,989,Tropical Storm
2020,BERTHA,5/27 - 5/28,45,1005,Tropical Storm
2020,BETA,9/17 - 9/25,55,993,Tropical Storm
2020,CRISTOBAL,6/1 - 6/12,50,982,Tropical Storm
2020,DELTA,10/4 - 10/11,120,953,Hurricane
2020,DOLLY,6/22 - 6/25,40,1000,Tropical Storm
2020,EDOUARD,7/4 - 7/9,40,1005,Tropical Storm
2020,EPSILON,10/16 - 10/26,100,952,Hurricane
2020,ETA,10/31 - 11/14,130,922,Hurricane
2020,FAY,7/5 - 7/11,50,998,Tropical Storm
2020,GAMMA,10/2 - 10/6,65,978,Hurricane
2020,GONZALO,7/20 - 7/25,55,997,Tropical Storm
2020,HANNA,7/23 - 7/26,80,973,Hurricane
2020,IOTA,11/12 - 11/18,135,917,Hurricane
2020,ISAIAS,7/28 - 8/5,80,986,Hurricane
2020,JOSEPHINE,8/10 - 8/16,40,1004,Tropical Storm
2020,KYLE,8/14 - 8/16,45,1000,Tropical Storm
2020,LAURA,8/20 - 8/29,130,937,Hurricane
2020,MARCO,8/20 - 8/25,65,991,Hurricane
2020,NANA,9/1 - 9/4,65,994,Hurricane
2020,NOT_NAMED,7/29 - 8/2,30,1008,Tropical Depression
2020,OMAR,8/30 - 9/6,35,1003,Tropical Storm
2020,PAULETTE,9/7 - 9/28,90,965,Hurricane
2020,RENE,9/6 - 9/14,40,1001,Tropical Storm
2020,SALLY,9/11 - 9/18,95,965,Hurricane
2020,TEDDY,9/12 - 9/24,120,945,Hurricane
2020,THETA,11/8 - 11/16,60,987,Tropical Storm
2020,VICKY,9/14 - 9/19,45,1001,Tropical Storm
2020,WILFRED,9/17 - 9/21,35,1006,Tropical Storm
2020,ZETA,10/24 - 10/30,100,970,Hurricane
2021,ANA,5/20 - 5/24,50,1004,Tropical Storm
2021,BILL,6/13 - 6/16,55,992,Tropical Storm
2021,CLAUDETTE,6/17 - 6/23,40,1003,Tropical Storm
2021,DANNY,6/27 - 6/29,40,1009,Tropical Storm
2021,ELSA,6/30 - 7/10,75,991,Hurricane
2021,FRED,8/9 - 8/20,55,991,Tropical Storm
2021,GRACE,8/13 - 8/21,105,967,Hurricane
2021,HENRI,8/15 - 8/24,65,986,Hurricane
2021,IDA,8/26 - 9/4,130,929,Hurricane
2021,JULIAN,8/28 - 8/31,50,993,Tropical Storm
2021,KATE,8/27 - 9/1,40,1004,Tropical Storm
2021,LARRY,8/31 - 9/11,110,953,Hurricane
2021,MINDY,9/8 - 9/10,50,1000,Tropical Storm
2021,NICHOLAS,9/12 - 9/17,65,988,Hurricane
2021,ODETTE,9/16 - 9/26,55,989,Tropical Storm
2021,PETER,9/19 - 9/22,45,1005,Tropical Storm
2021,ROSE,9/19 - 9/24,50,1004,Tropical Storm
2021,SAM,9/22 - 10/7,135,927,Hurricane
2021,TERESA,9/24 - 9/26,40,1008,Tropical Low
2021,VICTOR,9/29 - 10/4,55,997,Tropical Storm
2021,WANDA,10/25 - 11/8,60,973,Tropical Storm
2022,ALEX,6/2 - 6/6,60,984,Tropical Storm
2022,BONNIE,6/27 - 7/9,100,964,Hurricane
2022,COLIN,7/2 - 7/3,35,1012,Tropical Storm
2022,Danielle,9/1 - 9/8,80,1013,Hurricane
2022,Earl,9/2 - 9/10,90,1005,Hurricane
2022,Eleven,9/28 - 9/29,30,1010,Tropical Depression
2022,Fiona,9/14 - 9/24,115,1009,Hurricane
2022,Four,8/19 - 8/20,30,1010,Potential Tropical Cyclone
2022,Gaston,9/20 - 9/26,55,1013,Tropical Storm
2022,Hermine,9/23 - 9/25,35,1008,Tropical Storm
2022,Ian,9/23 - 10/1,135,1010,Hurricane
2022,Julia,10/6 - 10/10,75,1006,Hurricane
2022,Karl,10/11 - 10/15,50,1008,Tropical Storm
2022,Lisa,10/30 - 11/5,75,1009,Hurricane
2022,Martin,11/1 - 11/3,75,997,Hurricane
2022,Nicole,11/7 - 11/11,65,1004,Hurricane
2022,Twelve,10/4 - 10/6,30,1010,Tropical Depression
2023,Arlene,6/1 - 6/3,35,1007,Tropical Storm
2023,Bret,6/19 - 6/24,60,1009,Tropical Storm
2023,Cindy,6/22 - 6/25,50,1011,Tropical Storm
2023,Don,7/14 - 7/24,65,1011,Hurricane
2023,Emily,8/20 - 8/21,45,1006,Tropical Storm
2023,Franklin,8/20 - 9/1,130,1004,Hurricane
2023,Gert,8/19 - 9/4,50,1008,Tropical Storm
2023,Harold,8/21 - 8/23,45,1010,Tropical Storm
2023,Idalia,8/26 - 9/2,115,1006,Hurricane
2023,Jose,8/29 - 9/1,50,1014,Tropical Storm
2023,Katia,9/1 - 9/4,50,1010,Tropical Storm
2023,Lee,9/5 - 9/17,145,1008,Hurricane
2023,Margot,9/7 - 9/17,80,1005,Hurricane
2023,Nigel,9/15 - 9/22,85,1007,Hurricane
2023,Ophelia,9/21 - 9/24,60,1012,Tropical Storm
2023,Philippe,9/23 - 10/6,45,1007,Tropical Storm
2023,Rina,9/28 - 10/1,45,1010,Tropical Storm
2023,Sean,10/10 - 10/15,40,1011,Tropical Storm
2023,Tammy,10/18 - 10/29,90,1007,Hurricane
2023,Twenty-One,10/23 - 10/24,25,1007,Tropical Depression
2023,Twenty-Two,11/16 - 11/17,30,1006,Potential Tropical Cyclone
2024,Alberto,6/17 - 6/20,45,1001,Tropical Storm
2024,Chris,6/30 - 7/1,35,1007,Tropical Storm
2024,Eight,9/15 - 9/16,45,1006,Potential Tropical Cyclone
2024,Ernesto,8/11 - 8/20,85,1010,Hurricane
2024,Gordon,9/11 - 9/17,40,1007,Tropical Storm
2024,Isaac,9/25 - 9/30,90,997,Hurricane
2024,Joyce,9/27 - 9/30,45,1006,Tropical Storm
2024,Kirk,9/29 - 10/7,125,1006,Hurricane
2024,Leslie,10/2 - 10/10,90,1006,Hurricane
2024,Milton,10/5 - 10/10,155,1007,Hurricane
