year,storm, dates , max_winds_mph , min_pressure_mb , maximum_strength 
2012,RAFAEL,10/12 - 10/26,80,966,Hurricane
2012,SANDY,10/21 - 10/31,100,940,Hurricane
2012,TONY,10/21 - 10/26,45,1000,Tropical Storm
2011,ARLENE,6/28 - 7/1,55,993,Tropical Storm
2011,BRET,7/16 - 7/23,60,995,Tropical Storm
2011,CINDY,7/20 - 7/23,60,994,Tropical Storm
2011,DON,7/27 - 7/30,45,997,Tropical Storm
2011,EMILY,8/2 - 8/7,45,1003,Tropical Storm
2011,FRANKLIN,8/12 - 8/16,40,1004,Tropical Storm
2011,GERT,8/13 - 8/17,55,1000,Tropical Storm
2011,HARVEY,8/19 - 8/22,55,994,Tropical Storm
2011,IRENE,8/21 - 8/30,105,942,Hurricane
2011,JOSE,8/26 - 8/29,40,1006,Tropical Storm
2011,KATIA,8/28 - 9/12,120,942,Hurricane
2011,LEE,9/2 - 9/6,50,986,Tropical Storm
2011,MARIA,9/6 - 9/16,70,983,Hurricane
2011,NATE,9/6 - 9/12,65,994,Hurricane
2011,NOT_NAMED,8/31 - 9/3,40,1002,Tropical Storm
2011,NOT_NAMED,8/25 - 8/27,30,1006,Tropical Depression
2011,OPHELIA,9/20 - 10/4,120,940,Hurricane
2011,PHILIPPE,9/23 - 10/9,80,976,Hurricane
2011,RINA,10/22 - 10/29,100,966,Hurricane
2011,SEAN,11/6 - 11/12,55,982,Tropical Storm
2010,ALEX,6/24 - 7/2,95,946,Hurricane
2010,BONNIE,7/22 - 7/25,40,1005,Tropical Storm
2010,COLIN,8/2 - 8/8,50,1005,Tropical Storm
2010,DANIELLE,8/21 - 9/3,115,942,Hurricane
2010,EARL,8/24 - 9/6,125,927,Hurricane
2010,FIONA,8/30 - 9/4,55,998,Tropical Storm
2010,GASTON,9/1 - 9/8,35,1005,Tropical Storm
2010,HERMINE,9/3 - 9/10,60,989,Tropical Storm
2010,IGOR,9/8 - 9/23,135,924,Hurricane
2010,JULIA,9/12 - 9/24,120,948,Hurricane
2010,KARL,9/13 - 9/18,110,956,Hurricane
2010,LISA,9/20 - 9/29,75,982,Hurricane
2010,MATTHEW,9/23 - 9/26,50,998,Tropical Storm
2010,NICOLE,9/28 - 9/30,40,994,Tropical Storm
2010,NOT_NAMED,8/10 - 8/18,30,1007,Tropical Depression
2010,NOT_NAMED,7/7 - 7/10,30,1005,Tropical Depression
2010,OTTO,10/6 - 10/17,75,976,Hurricane
2010,PAULA,10/11 - 10/15,90,981,Hurricane
2010,RICHARD,10/19 - 10/26,85,977,Hurricane
2010,SHARY,10/28 - 10/30,65,989,Hurricane
2010,TOMAS,10/29 - 11/10,85,982,Hurricane
2009,ANA,8/10 - 8/16,35,1003,Tropical Storm
2009,BILL,8/15 - 8/26,115,943,Hurricane
2009,CLAUDETTE,8/16 - 8/17,50,1005,Tropical Storm
2009,DANNY,8/26 - 8/29,50,1006,Tropical Storm
2009,ERIKA,9/1 - 9/4,45,1004,Tropical Storm
2009,FRED,9/7 - 9/19,105,958,Hurricane
2009,GRACE,9/27 - 10/6,55,986,Tropical Storm
2009,HENRI,10/6 - 10/11,45,1005,Tropical Storm
2009,IDA,11/4 - 11/11,90,975,Hurricane
2009,NOT_NAMED,9/25 - 9/26,30,1008,Tropical Depression
2009,NOT_NAMED,5/26 - 5/30,30,1006,Tropical Depression
2008,ARTHUR,5/31 - 6/2,40,1004,Tropical Storm
2008,BERTHA,7/3 - 7/21,110,952,Hurricane
2008,CRISTOBAL,7/19 - 7/23,55,998,Tropical Storm
2008,DOLLY,7/20 - 7/27,85,963,Hurricane
2008,EDOUARD,8/3 - 8/6,55,996,Tropical Storm
2008,FAY,8/15 - 8/28,60,986,Tropical Storm
